"Buchholz's OCF","Madore's OCF"
"\psi(\Omega^\Omega \cdot 2 + \Omega^{\psi(\Omega^\Omega \cdot 2)})","\psi(\Omega^\Omega \cdot 2 + \Omega^{\psi(\Omega^\Omega \cdot 2)})"
"\psi(\Omega^\Omega \cdot 3)","\psi(\Omega^\Omega \cdot 3)"
"\psi(\Omega^\Omega \cdot 4)","\psi(\Omega^\Omega \cdot 4)"
"\psi(\Omega^\Omega \cdot \omega)","\psi(\Omega^\Omega \cdot \omega)"
"\psi(\Omega^\Omega \cdot \psi(\Omega^\Omega))","\psi(\Omega^\Omega \cdot \psi(\Omega^\Omega))"
"\psi(\Omega^{\Omega+1})","\psi(\Omega^{\Omega+1})"
"\psi(\Omega^{\Omega+1} + \Omega^\omega)","\psi(\Omega^{\Omega+1} + \Omega^\omega)"
"\psi(\Omega^{\Omega+1} + \Omega^{\psi(\Omega^\Omega)})","\psi(\Omega^{\Omega+1} + \Omega^{\psi(\Omega^\Omega)})"
"\psi(\Omega^{\Omega+1} + \Omega^{\psi(\Omega^{\Omega+1})})","\psi(\Omega^{\Omega+1} + \Omega^{\psi(\Omega^{\Omega+1})})"
"\psi(\Omega^{\Omega+1} + \Omega^{\psi(\Omega^{\Omega+1})+1})","\psi(\Omega^{\Omega+1} + \Omega^{\psi(\Omega^{\Omega+1})+1})"
"\psi(\Omega^{\Omega+1} + \Omega^\Omega)","\psi(\Omega^{\Omega+1} + \Omega^\Omega)"
"\psi(\Omega^{\Omega+1} + \Omega^\Omega \cdot \psi(\Omega^{\Omega+1} + \Omega^\Omega))","\psi(\Omega^{\Omega+1} + \Omega^\Omega \cdot \psi(\Omega^{\Omega+1} + \Omega^\Omega))"
"\psi(\Omega^{\Omega+1} \cdot 2)","\psi(\Omega^{\Omega+1} \cdot 2)"
"\psi(\Omega^{\Omega+1} \cdot 3)","\psi(\Omega^{\Omega+1} \cdot 3)"
"\psi(\Omega^{\Omega+1} \cdot \omega)","\psi(\Omega^{\Omega+1} \cdot \omega)"
"\psi(\Omega^{\Omega+2})","\psi(\Omega^{\Omega+2})"
"\psi(\Omega^{\Omega+2} + \Omega^{\psi(\Omega^{\Omega+2})+1})","\psi(\Omega^{\Omega+2} + \Omega^{\psi(\Omega^{\Omega+2})+1})"
"\psi(\Omega^{\Omega+2} + \Omega^\Omega)","\psi(\Omega^{\Omega+2} + \Omega^\Omega)"
"\psi(\Omega^{\Omega+2} + \Omega^\Omega \cdot \psi(\Omega^{\Omega+2} + \Omega^\Omega))","\psi(\Omega^{\Omega+2} + \Omega^\Omega \cdot \psi(\Omega^{\Omega+2} + \Omega^\Omega))"
"\psi(\Omega^{\Omega+2} + \Omega^{\Omega+1})","\psi(\Omega^{\Omega+2} + \Omega^{\Omega+1})"
"\psi(\Omega^{\Omega+2} \cdot 2)","\psi(\Omega^{\Omega+2} \cdot 2)"
